,Model,Number of Features,Number of con,Number of cat,Accuracy,Precision,Recall,F1-Score
815,Naive Bayes,25,6,19,0.76,0.65,0.6333333333333333,0.6314285714285715
816,K-Nearest Neighbor,25,7,18,0.72,0.6333333333333333,0.6,0.5533333333333333
817,Support Vector Machines,25,7,18,0.7200000000000001,0.7666666666666666,0.7,0.6599999999999999
818,Naive Bayes,25,7,18,0.8400000000000001,0.75,0.7,0.7047619047619047
819,K-Nearest Neighbor,25,8,17,0.72,0.6333333333333333,0.6,0.5533333333333333
820,Support Vector Machines,25,8,17,0.68,0.7333333333333332,0.7,0.6266666666666666
821,Naive Bayes,25,8,17,0.8400000000000001,0.75,0.7,0.7047619047619047
822,K-Nearest Neighbor,25,9,16,0.72,0.6333333333333333,0.6,0.5533333333333333
823,Support Vector Machines,25,9,16,0.68,0.7333333333333332,0.7,0.6266666666666666
824,Naive Bayes,25,9,16,0.8400000000000001,0.8333333333333333,0.8333333333333333,0.7999999999999999
825,K-Nearest Neighbor,25,10,15,0.64,0.5333333333333333,0.6,0.49333333333333335
826,Support Vector Machines,25,10,15,0.68,0.7333333333333332,0.7,0.6266666666666666
827,Naive Bayes,25,10,15,0.8400000000000001,0.8333333333333333,0.8333333333333333,0.7999999999999999
828,K-Nearest Neighbor,25,11,14,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
829,Support Vector Machines,25,11,14,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
830,Naive Bayes,25,11,14,0.8800000000000001,0.9333333333333332,0.8333333333333333,0.8666666666666666
831,K-Nearest Neighbor,25,12,13,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
832,Support Vector Machines,25,12,13,0.6799999999999999,0.6499999999999999,0.7666666666666666,0.6314285714285715
833,Naive Bayes,25,12,13,0.8400000000000001,0.75,0.9,0.8047619047619048
834,K-Nearest Neighbor,25,13,12,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
835,Support Vector Machines,25,13,12,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
836,Naive Bayes,25,13,12,0.8400000000000001,0.75,0.9,0.8047619047619048
837,K-Nearest Neighbor,25,14,11,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
838,Support Vector Machines,25,14,11,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
839,Naive Bayes,25,14,11,0.8800000000000001,0.85,0.9,0.8714285714285716
840,K-Nearest Neighbor,25,15,10,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
841,Support Vector Machines,25,15,10,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
842,Naive Bayes,25,15,10,0.9199999999999999,0.95,0.9,0.9047619047619048
843,K-Nearest Neighbor,25,16,9,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
844,Support Vector Machines,25,16,9,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
845,Naive Bayes,25,16,9,0.9199999999999999,0.95,0.9,0.9047619047619048
846,K-Nearest Neighbor,25,17,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
847,Support Vector Machines,25,17,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
848,Naive Bayes,25,17,8,0.8800000000000001,0.85,0.9,0.838095238095238
849,K-Nearest Neighbor,25,18,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
850,Support Vector Machines,25,18,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
851,Naive Bayes,25,18,7,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
852,K-Nearest Neighbor,25,19,6,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
853,Support Vector Machines,25,19,6,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
854,Naive Bayes,25,19,6,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
855,K-Nearest Neighbor,25,20,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
856,Support Vector Machines,25,20,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
857,Naive Bayes,25,20,5,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
858,K-Nearest Neighbor,25,21,4,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
859,Support Vector Machines,25,21,4,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
860,Naive Bayes,25,21,4,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
861,K-Nearest Neighbor,25,22,3,0.76,0.6499999999999999,0.9,0.7447619047619047
862,Support Vector Machines,25,22,3,0.8,0.7666666666666666,0.8333333333333333,0.76
863,Naive Bayes,25,22,3,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
864,K-Nearest Neighbor,25,23,2,0.72,0.6499999999999999,0.8333333333333333,0.7047619047619047
865,Support Vector Machines,25,23,2,0.6,0.6,0.5,0.5133333333333333
866,Naive Bayes,25,23,2,0.8400000000000001,0.7833333333333333,0.9,0.8314285714285715
867,K-Nearest Neighbor,25,24,1,0.6799999999999999,0.6166666666666666,0.8333333333333333,0.6780952380952381
868,Support Vector Machines,25,24,1,0.6,0.6,0.5,0.5133333333333333
869,Naive Bayes,25,24,1,0.76,0.6833333333333333,0.5666666666666667,0.5647619047619047
870,K-Nearest Neighbor,26,6,20,0.72,0.6333333333333333,0.6,0.5533333333333333
871,Support Vector Machines,26,6,20,0.68,0.7333333333333332,0.7,0.6266666666666666
872,Naive Bayes,26,6,20,0.76,0.65,0.6333333333333333,0.6314285714285715
873,K-Nearest Neighbor,26,7,19,0.72,0.6333333333333333,0.6,0.5533333333333333
874,Support Vector Machines,26,7,19,0.68,0.7333333333333332,0.7,0.6266666666666666
875,Naive Bayes,26,7,19,0.8400000000000001,0.75,0.7,0.7047619047619047
876,K-Nearest Neighbor,26,8,18,0.72,0.6333333333333333,0.6,0.5533333333333333
877,Support Vector Machines,26,8,18,0.7200000000000001,0.7666666666666666,0.7,0.6599999999999999
878,Naive Bayes,26,8,18,0.8400000000000001,0.75,0.7,0.7047619047619047
879,K-Nearest Neighbor,26,9,17,0.72,0.6333333333333333,0.6,0.5533333333333333
880,Support Vector Machines,26,9,17,0.68,0.7333333333333332,0.7,0.6266666666666666
881,Naive Bayes,26,9,17,0.8,0.7333333333333333,0.6333333333333333,0.6666666666666666
882,K-Nearest Neighbor,26,10,16,0.6799999999999999,0.5999999999999999,0.6,0.52
883,Support Vector Machines,26,10,16,0.68,0.7333333333333332,0.7,0.6266666666666666
884,Naive Bayes,26,10,16,0.8400000000000001,0.8333333333333333,0.8333333333333333,0.7999999999999999
885,K-Nearest Neighbor,26,11,15,0.6799999999999999,0.5999999999999999,0.6,0.52
886,Support Vector Machines,26,11,15,0.68,0.7333333333333332,0.7,0.6266666666666666
887,Naive Bayes,26,11,15,0.8400000000000001,0.8333333333333333,0.8333333333333333,0.7999999999999999
888,K-Nearest Neighbor,26,12,14,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
889,Support Vector Machines,26,12,14,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
890,Naive Bayes,26,12,14,0.8400000000000001,0.85,0.8333333333333333,0.8314285714285713
891,K-Nearest Neighbor,26,13,13,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
892,Support Vector Machines,26,13,13,0.6799999999999999,0.6499999999999999,0.7666666666666666,0.6314285714285715
893,Naive Bayes,26,13,13,0.8400000000000001,0.75,0.9,0.8047619047619048
894,K-Nearest Neighbor,26,14,12,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
895,Support Vector Machines,26,14,12,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
896,Naive Bayes,26,14,12,0.8800000000000001,0.85,0.9,0.8714285714285716
897,K-Nearest Neighbor,26,15,11,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
898,Support Vector Machines,26,15,11,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
899,Naive Bayes,26,15,11,0.8800000000000001,0.85,0.9,0.8714285714285716
900,K-Nearest Neighbor,26,16,10,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
901,Support Vector Machines,26,16,10,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
902,Naive Bayes,26,16,10,0.9199999999999999,0.95,0.9,0.9047619047619048
903,K-Nearest Neighbor,26,17,9,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
904,Support Vector Machines,26,17,9,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
905,Naive Bayes,26,17,9,0.9199999999999999,0.95,0.9,0.9047619047619048
906,K-Nearest Neighbor,26,18,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
907,Support Vector Machines,26,18,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
908,Naive Bayes,26,18,8,0.8800000000000001,0.85,0.9,0.838095238095238
909,K-Nearest Neighbor,26,19,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
910,Support Vector Machines,26,19,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
911,Naive Bayes,26,19,7,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
