,Model,Number of Features,Number of con,Number of cat,Accuracy,Precision,Recall,F1-Score
340,Support Vector Machines,16,9,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
341,Naive Bayes,16,9,7,0.8,0.7666666666666666,0.8333333333333333,0.76
342,K-Nearest Neighbor,16,10,6,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
343,Support Vector Machines,16,10,6,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
344,Naive Bayes,16,10,6,0.8,0.7666666666666666,0.8333333333333333,0.76
345,K-Nearest Neighbor,16,11,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
346,Support Vector Machines,16,11,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
347,Naive Bayes,16,11,5,0.8400000000000001,0.8666666666666666,0.8333333333333333,0.8266666666666665
348,K-Nearest Neighbor,16,12,4,0.6799999999999999,0.55,0.5666666666666667,0.5047619047619047
349,Support Vector Machines,16,12,4,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
350,Naive Bayes,16,12,4,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
351,K-Nearest Neighbor,16,13,3,0.8400000000000001,0.7166666666666666,1.0,0.8247619047619048
352,Support Vector Machines,16,13,3,0.76,0.6666666666666666,0.6333333333333333,0.6266666666666666
353,Naive Bayes,16,13,3,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
354,K-Nearest Neighbor,16,14,2,0.76,0.6499999999999999,1.0,0.7647619047619048
355,Support Vector Machines,16,14,2,0.8,0.6666666666666666,0.7333333333333333,0.6933333333333334
356,Naive Bayes,16,14,2,0.8400000000000001,0.7833333333333333,0.9,0.8314285714285715
357,K-Nearest Neighbor,16,15,1,0.7200000000000001,0.6666666666666666,0.8666666666666666,0.7133333333333333
358,Support Vector Machines,16,15,1,0.6799999999999999,0.6333333333333333,0.6,0.5666666666666667
359,Naive Bayes,16,15,1,0.76,0.6833333333333333,0.5666666666666667,0.5647619047619047
360,K-Nearest Neighbor,17,1,16,0.72,0.6333333333333333,0.6,0.5533333333333333
361,Support Vector Machines,17,1,16,0.68,0.7333333333333332,0.7,0.6266666666666666
362,Naive Bayes,17,1,16,0.8,0.75,0.8333333333333333,0.7647619047619048
363,K-Nearest Neighbor,17,2,15,0.64,0.5333333333333333,0.6,0.49333333333333335
364,Support Vector Machines,17,2,15,0.68,0.7333333333333332,0.7,0.6266666666666666
365,Naive Bayes,17,2,15,0.8800000000000001,0.8833333333333332,0.9333333333333332,0.8914285714285715
366,K-Nearest Neighbor,17,3,14,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
367,Support Vector Machines,17,3,14,0.72,0.6833333333333333,0.7666666666666666,0.6647619047619047
368,Naive Bayes,17,3,14,0.8400000000000001,0.85,0.8333333333333333,0.8314285714285713
369,K-Nearest Neighbor,17,4,13,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
370,Support Vector Machines,17,4,13,0.72,0.6833333333333333,0.7666666666666666,0.6647619047619047
371,Naive Bayes,17,4,13,0.8400000000000001,0.75,0.9,0.8047619047619048
372,K-Nearest Neighbor,17,5,12,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
373,Support Vector Machines,17,5,12,0.72,0.6833333333333333,0.7666666666666666,0.6647619047619047
374,Naive Bayes,17,5,12,0.8400000000000001,0.75,0.9,0.8047619047619048
375,K-Nearest Neighbor,17,6,11,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
376,Support Vector Machines,17,6,11,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
377,Naive Bayes,17,6,11,0.8400000000000001,0.75,0.9,0.8047619047619048
378,K-Nearest Neighbor,17,7,10,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
379,Support Vector Machines,17,7,10,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
380,Naive Bayes,17,7,10,0.8800000000000001,0.85,0.9,0.838095238095238
381,K-Nearest Neighbor,17,8,9,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
382,Support Vector Machines,17,8,9,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
383,Naive Bayes,17,8,9,0.9199999999999999,0.95,0.9,0.9047619047619048
384,K-Nearest Neighbor,17,9,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
385,Support Vector Machines,17,9,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
386,Naive Bayes,17,9,8,0.8400000000000001,0.8333333333333333,0.8333333333333333,0.7999999999999999
387,K-Nearest Neighbor,17,10,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
388,Support Vector Machines,17,10,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
389,Naive Bayes,17,10,7,0.8,0.7666666666666666,0.8333333333333333,0.76
390,K-Nearest Neighbor,17,11,6,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
391,Support Vector Machines,17,11,6,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
392,Naive Bayes,17,11,6,0.8,0.7666666666666666,0.8333333333333333,0.76
393,K-Nearest Neighbor,17,12,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
394,Support Vector Machines,17,12,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
395,Naive Bayes,17,12,5,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
396,K-Nearest Neighbor,17,13,4,0.6799999999999999,0.55,0.5666666666666667,0.5047619047619047
397,Support Vector Machines,17,13,4,0.6399999999999999,0.5166666666666666,0.5666666666666667,0.4714285714285714
398,Naive Bayes,17,13,4,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
399,K-Nearest Neighbor,17,14,3,0.8400000000000001,0.7166666666666666,1.0,0.8247619047619048
400,Support Vector Machines,17,14,3,0.7600000000000001,0.7666666666666666,0.7666666666666666,0.72
401,Naive Bayes,17,14,3,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
402,K-Nearest Neighbor,17,15,2,0.76,0.6499999999999999,1.0,0.7647619047619048
403,Support Vector Machines,17,15,2,0.8,0.6666666666666666,0.7333333333333333,0.6933333333333334
404,Naive Bayes,17,15,2,0.8400000000000001,0.7833333333333333,0.9,0.8314285714285715
405,K-Nearest Neighbor,17,16,1,0.76,0.6833333333333333,0.9333333333333332,0.7514285714285714
406,Support Vector Machines,17,16,1,0.6,0.5666666666666667,0.6,0.5266666666666666
407,Naive Bayes,17,16,1,0.72,0.65,0.5666666666666667,0.5380952380952381
408,K-Nearest Neighbor,18,1,17,0.72,0.6333333333333333,0.6,0.5533333333333333
409,Support Vector Machines,18,1,17,0.68,0.7333333333333332,0.7,0.6266666666666666
410,Naive Bayes,18,1,17,0.72,0.6333333333333333,0.5666666666666667,0.5933333333333334
411,K-Nearest Neighbor,18,2,16,0.72,0.6333333333333333,0.6,0.5533333333333333
412,Support Vector Machines,18,2,16,0.68,0.7333333333333332,0.7,0.6266666666666666
413,Naive Bayes,18,2,16,0.8400000000000001,0.7833333333333333,0.9333333333333332,0.8247619047619047
414,K-Nearest Neighbor,18,3,15,0.64,0.5333333333333333,0.6,0.49333333333333335
415,Support Vector Machines,18,3,15,0.68,0.7333333333333332,0.7,0.6266666666666666
416,Naive Bayes,18,3,15,0.8,0.75,0.8333333333333333,0.7647619047619048
417,K-Nearest Neighbor,18,4,14,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
418,Support Vector Machines,18,4,14,0.72,0.6833333333333333,0.7666666666666666,0.6647619047619047
419,Naive Bayes,18,4,14,0.8400000000000001,0.85,0.8333333333333333,0.8314285714285713
420,K-Nearest Neighbor,18,5,13,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
421,Support Vector Machines,18,5,13,0.72,0.6833333333333333,0.7666666666666666,0.6647619047619047
422,Naive Bayes,18,5,13,0.8400000000000001,0.75,0.9,0.8047619047619048
423,K-Nearest Neighbor,18,6,12,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
424,Support Vector Machines,18,6,12,0.72,0.6833333333333333,0.7666666666666666,0.6647619047619047
425,Naive Bayes,18,6,12,0.8400000000000001,0.75,0.9,0.8047619047619048
426,K-Nearest Neighbor,18,7,11,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
427,Support Vector Machines,18,7,11,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
428,Naive Bayes,18,7,11,0.8400000000000001,0.75,0.9,0.8047619047619048
429,K-Nearest Neighbor,18,8,10,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
430,Support Vector Machines,18,8,10,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
431,Naive Bayes,18,8,10,0.8800000000000001,0.85,0.9,0.838095238095238
432,K-Nearest Neighbor,18,9,9,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
433,Support Vector Machines,18,9,9,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
434,Naive Bayes,18,9,9,0.8400000000000001,0.8333333333333333,0.8333333333333333,0.7999999999999999
435,K-Nearest Neighbor,18,10,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
436,Support Vector Machines,18,10,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
437,Naive Bayes,18,10,8,0.8400000000000001,0.8333333333333333,0.8333333333333333,0.7999999999999999
438,K-Nearest Neighbor,18,11,7,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
439,Support Vector Machines,18,11,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
440,Naive Bayes,18,11,7,0.8,0.7666666666666666,0.8333333333333333,0.76
441,K-Nearest Neighbor,18,12,6,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
442,Support Vector Machines,18,12,6,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
443,Naive Bayes,18,12,6,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
444,K-Nearest Neighbor,18,13,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
445,Support Vector Machines,18,13,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
446,Naive Bayes,18,13,5,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
447,K-Nearest Neighbor,18,14,4,0.6799999999999999,0.55,0.5666666666666667,0.5047619047619047
448,Support Vector Machines,18,14,4,0.6399999999999999,0.5166666666666666,0.5666666666666667,0.4714285714285714
449,Naive Bayes,18,14,4,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
450,K-Nearest Neighbor,18,15,3,0.8799999999999999,0.7833333333333333,1.0,0.8647619047619047
451,Support Vector Machines,18,15,3,0.8,0.7666666666666666,0.8333333333333333,0.76
452,Naive Bayes,18,15,3,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
453,K-Nearest Neighbor,18,16,2,0.8,0.7166666666666666,1.0,0.8047619047619048
454,Support Vector Machines,18,16,2,0.8,0.6666666666666666,0.7333333333333333,0.6933333333333334
455,Naive Bayes,18,16,2,0.8400000000000001,0.7833333333333333,0.9,0.8314285714285715
456,K-Nearest Neighbor,18,17,1,0.76,0.6499999999999999,1.0,0.7647619047619048
457,Support Vector Machines,18,17,1,0.6,0.5666666666666667,0.5,0.49333333333333335
458,Naive Bayes,18,17,1,0.72,0.65,0.5666666666666667,0.5380952380952381
459,K-Nearest Neighbor,19,1,18,0.72,0.6333333333333333,0.6,0.5533333333333333
460,Support Vector Machines,19,1,18,0.68,0.7333333333333332,0.7,0.6266666666666666
461,Naive Bayes,19,1,18,0.72,0.6333333333333333,0.5666666666666667,0.5933333333333334
462,K-Nearest Neighbor,19,2,17,0.72,0.6333333333333333,0.6,0.5533333333333333
463,Support Vector Machines,19,2,17,0.68,0.7333333333333332,0.7,0.6266666666666666
464,Naive Bayes,19,2,17,0.8,0.6833333333333333,0.7333333333333333,0.6914285714285715
465,K-Nearest Neighbor,19,3,16,0.72,0.6333333333333333,0.6,0.5533333333333333
466,Support Vector Machines,19,3,16,0.68,0.7333333333333332,0.7,0.6266666666666666
467,Naive Bayes,19,3,16,0.8,0.75,0.8333333333333333,0.7647619047619048
468,K-Nearest Neighbor,19,4,15,0.64,0.5333333333333333,0.6,0.49333333333333335
469,Support Vector Machines,19,4,15,0.68,0.7333333333333332,0.7,0.6266666666666666
470,Naive Bayes,19,4,15,0.8,0.75,0.8333333333333333,0.7647619047619048
471,K-Nearest Neighbor,19,5,14,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
472,Support Vector Machines,19,5,14,0.72,0.6833333333333333,0.7666666666666666,0.6647619047619047
473,Naive Bayes,19,5,14,0.8800000000000001,0.85,0.9,0.8714285714285716
474,K-Nearest Neighbor,19,6,13,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
475,Support Vector Machines,19,6,13,0.72,0.6833333333333333,0.7666666666666666,0.6647619047619047
476,Naive Bayes,19,6,13,0.8400000000000001,0.75,0.9,0.8047619047619048
477,K-Nearest Neighbor,19,7,12,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
478,Support Vector Machines,19,7,12,0.72,0.6833333333333333,0.7666666666666666,0.6647619047619047
479,Naive Bayes,19,7,12,0.8400000000000001,0.75,0.9,0.8047619047619048
480,K-Nearest Neighbor,19,8,11,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
481,Support Vector Machines,19,8,11,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
482,Naive Bayes,19,8,11,0.8400000000000001,0.75,0.9,0.8047619047619048
483,K-Nearest Neighbor,19,9,10,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
484,Support Vector Machines,19,9,10,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
485,Naive Bayes,19,9,10,0.8400000000000001,0.8333333333333333,0.8333333333333333,0.7999999999999999
486,K-Nearest Neighbor,19,10,9,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
487,Support Vector Machines,19,10,9,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
488,Naive Bayes,19,10,9,0.8400000000000001,0.8333333333333333,0.8333333333333333,0.7999999999999999
489,K-Nearest Neighbor,19,11,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
490,Support Vector Machines,19,11,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
491,Naive Bayes,19,11,8,0.8400000000000001,0.8333333333333333,0.8333333333333333,0.7999999999999999
492,K-Nearest Neighbor,19,12,7,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
493,Support Vector Machines,19,12,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
494,Naive Bayes,19,12,7,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
495,K-Nearest Neighbor,19,13,6,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
496,Support Vector Machines,19,13,6,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
497,Naive Bayes,19,13,6,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
498,K-Nearest Neighbor,19,14,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
499,Support Vector Machines,19,14,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
500,Naive Bayes,19,14,5,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
501,K-Nearest Neighbor,19,15,4,0.6799999999999999,0.55,0.5666666666666667,0.5047619047619047
502,Support Vector Machines,19,15,4,0.6399999999999999,0.5166666666666666,0.5666666666666667,0.4714285714285714
503,Naive Bayes,19,15,4,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
504,K-Nearest Neighbor,19,16,3,0.8400000000000001,0.7833333333333333,0.9,0.7980952380952381
505,Support Vector Machines,19,16,3,0.8,0.7666666666666666,0.8333333333333333,0.76
506,Naive Bayes,19,16,3,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
507,K-Nearest Neighbor,19,17,2,0.76,0.6499999999999999,1.0,0.7647619047619048
508,Support Vector Machines,19,17,2,0.6799999999999999,0.6333333333333333,0.5666666666666667,0.5933333333333334
509,Naive Bayes,19,17,2,0.8400000000000001,0.7833333333333333,0.9,0.8314285714285715
510,K-Nearest Neighbor,19,18,1,0.8,0.7166666666666666,1.0,0.8047619047619048
511,Support Vector Machines,19,18,1,0.5599999999999999,0.3666666666666666,0.4333333333333333,0.3933333333333333
512,Naive Bayes,19,18,1,0.72,0.65,0.5666666666666667,0.5380952380952381
513,K-Nearest Neighbor,20,1,19,0.72,0.6333333333333333,0.6,0.5533333333333333
514,Support Vector Machines,20,1,19,0.68,0.7333333333333332,0.7,0.6266666666666666
515,Naive Bayes,20,1,19,0.72,0.6333333333333333,0.5666666666666667,0.5933333333333334
516,K-Nearest Neighbor,20,2,18,0.72,0.6333333333333333,0.6,0.5533333333333333
517,Support Vector Machines,20,2,18,0.68,0.7333333333333332,0.7,0.6266666666666666
518,Naive Bayes,20,2,18,0.76,0.65,0.6333333333333333,0.6314285714285715
519,K-Nearest Neighbor,20,3,17,0.72,0.6333333333333333,0.6,0.5533333333333333
520,Support Vector Machines,20,3,17,0.68,0.7333333333333332,0.7,0.6266666666666666
521,Naive Bayes,20,3,17,0.76,0.65,0.6333333333333333,0.6314285714285715
522,K-Nearest Neighbor,20,4,16,0.72,0.6333333333333333,0.6,0.5533333333333333
523,Support Vector Machines,20,4,16,0.68,0.7333333333333332,0.7,0.6266666666666666
524,Naive Bayes,20,4,16,0.8,0.75,0.8333333333333333,0.7647619047619048
525,K-Nearest Neighbor,20,5,15,0.64,0.5333333333333333,0.6,0.49333333333333335
526,Support Vector Machines,20,5,15,0.68,0.7333333333333332,0.7,0.6266666666666666
527,Naive Bayes,20,5,15,0.8400000000000001,0.75,0.9,0.8047619047619048
528,K-Nearest Neighbor,20,6,14,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
529,Support Vector Machines,20,6,14,0.72,0.6833333333333333,0.7666666666666666,0.6647619047619047
530,Naive Bayes,20,6,14,0.8800000000000001,0.85,0.9,0.8714285714285716
531,K-Nearest Neighbor,20,7,13,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
532,Support Vector Machines,20,7,13,0.72,0.6833333333333333,0.7666666666666666,0.6647619047619047
533,Naive Bayes,20,7,13,0.8400000000000001,0.75,0.9,0.8047619047619048
534,K-Nearest Neighbor,20,8,12,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
535,Support Vector Machines,20,8,12,0.72,0.6833333333333333,0.7666666666666666,0.6647619047619047
536,Naive Bayes,20,8,12,0.8400000000000001,0.75,0.9,0.8047619047619048
537,K-Nearest Neighbor,20,9,11,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
538,Support Vector Machines,20,9,11,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
539,Naive Bayes,20,9,11,0.8,0.7333333333333333,0.8333333333333333,0.7666666666666666
540,K-Nearest Neighbor,20,10,10,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
541,Support Vector Machines,20,10,10,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
542,Naive Bayes,20,10,10,0.8400000000000001,0.8333333333333333,0.8333333333333333,0.7999999999999999
543,K-Nearest Neighbor,20,11,9,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
544,Support Vector Machines,20,11,9,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
545,Naive Bayes,20,11,9,0.8400000000000001,0.8333333333333333,0.8333333333333333,0.7999999999999999
546,K-Nearest Neighbor,20,12,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
547,Support Vector Machines,20,12,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
548,Naive Bayes,20,12,8,0.8800000000000001,0.85,0.9,0.838095238095238
549,K-Nearest Neighbor,20,13,7,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
550,Support Vector Machines,20,13,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
551,Naive Bayes,20,13,7,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
552,K-Nearest Neighbor,20,14,6,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
553,Support Vector Machines,20,14,6,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
554,Naive Bayes,20,14,6,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
555,K-Nearest Neighbor,20,15,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
556,Support Vector Machines,20,15,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
557,Naive Bayes,20,15,5,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
558,K-Nearest Neighbor,20,16,4,0.6799999999999999,0.55,0.5666666666666667,0.5047619047619047
559,Support Vector Machines,20,16,4,0.6399999999999999,0.5166666666666666,0.5666666666666667,0.4714285714285714
560,Naive Bayes,20,16,4,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
561,K-Nearest Neighbor,20,17,3,0.8,0.6833333333333333,0.9,0.7647619047619048
562,Support Vector Machines,20,17,3,0.8,0.7666666666666666,0.8333333333333333,0.76
563,Naive Bayes,20,17,3,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
564,K-Nearest Neighbor,20,18,2,0.76,0.6499999999999999,1.0,0.7647619047619048
565,Support Vector Machines,20,18,2,0.6799999999999999,0.6333333333333333,0.5,0.5333333333333333
566,Naive Bayes,20,18,2,0.8400000000000001,0.7833333333333333,0.9,0.8314285714285715
567,K-Nearest Neighbor,20,19,1,0.72,0.6166666666666666,0.9,0.7114285714285714
568,Support Vector Machines,20,19,1,0.6,0.4333333333333333,0.4333333333333333,0.4333333333333333
569,Naive Bayes,20,19,1,0.72,0.65,0.5666666666666667,0.5380952380952381
570,K-Nearest Neighbor,21,1,20,0.6799999999999999,0.6,0.5,0.49333333333333335
571,Support Vector Machines,21,1,20,0.68,0.7333333333333332,0.7,0.6266666666666666
572,Naive Bayes,21,1,20,0.72,0.6333333333333333,0.5666666666666667,0.5933333333333334
573,K-Nearest Neighbor,21,2,19,0.72,0.6333333333333333,0.6,0.5533333333333333
574,Support Vector Machines,21,2,19,0.68,0.7333333333333332,0.7,0.6266666666666666
575,Naive Bayes,21,2,19,0.76,0.6666666666666666,0.6666666666666666,0.6533333333333333
576,K-Nearest Neighbor,21,3,18,0.72,0.6333333333333333,0.6,0.5533333333333333
577,Support Vector Machines,21,3,18,0.7200000000000001,0.7666666666666666,0.7,0.6599999999999999
578,Naive Bayes,21,3,18,0.76,0.65,0.6333333333333333,0.6314285714285715
579,K-Nearest Neighbor,21,4,17,0.72,0.6333333333333333,0.6,0.5533333333333333
580,Support Vector Machines,21,4,17,0.68,0.7333333333333332,0.7,0.6266666666666666
581,Naive Bayes,21,4,17,0.76,0.65,0.6333333333333333,0.6314285714285715
582,K-Nearest Neighbor,21,5,16,0.72,0.6333333333333333,0.6,0.5533333333333333
583,Support Vector Machines,21,5,16,0.68,0.7333333333333332,0.7,0.6266666666666666
584,Naive Bayes,21,5,16,0.8400000000000001,0.75,0.9,0.8047619047619048
585,K-Nearest Neighbor,21,6,15,0.64,0.5333333333333333,0.6,0.49333333333333335
586,Support Vector Machines,21,6,15,0.68,0.7333333333333332,0.7,0.6266666666666666
587,Naive Bayes,21,6,15,0.8400000000000001,0.75,0.9,0.8047619047619048
588,K-Nearest Neighbor,21,7,14,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
589,Support Vector Machines,21,7,14,0.72,0.6833333333333333,0.7666666666666666,0.6647619047619047
590,Naive Bayes,21,7,14,0.9199999999999999,0.95,0.9,0.9047619047619048
591,K-Nearest Neighbor,21,8,13,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
592,Support Vector Machines,21,8,13,0.72,0.6833333333333333,0.7666666666666666,0.6647619047619047
593,Naive Bayes,21,8,13,0.8400000000000001,0.75,0.9,0.8047619047619048
594,K-Nearest Neighbor,21,9,12,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
595,Support Vector Machines,21,9,12,0.72,0.6833333333333333,0.7666666666666666,0.6647619047619047
596,Naive Bayes,21,9,12,0.8,0.7333333333333333,0.8333333333333333,0.7666666666666666
597,K-Nearest Neighbor,21,10,11,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
598,Support Vector Machines,21,10,11,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
599,Naive Bayes,21,10,11,0.8,0.7333333333333333,0.8333333333333333,0.7666666666666666
600,K-Nearest Neighbor,21,11,10,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
601,Support Vector Machines,21,11,10,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
602,Naive Bayes,21,11,10,0.8400000000000001,0.8333333333333333,0.8333333333333333,0.7999999999999999
603,K-Nearest Neighbor,21,12,9,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
604,Support Vector Machines,21,12,9,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
605,Naive Bayes,21,12,9,0.9199999999999999,0.95,0.9,0.9047619047619048
606,K-Nearest Neighbor,21,13,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
607,Support Vector Machines,21,13,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
608,Naive Bayes,21,13,8,0.8800000000000001,0.85,0.9,0.838095238095238
609,K-Nearest Neighbor,21,14,7,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
610,Support Vector Machines,21,14,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
611,Naive Bayes,21,14,7,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
612,K-Nearest Neighbor,21,15,6,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
613,Support Vector Machines,21,15,6,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
614,Naive Bayes,21,15,6,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
615,K-Nearest Neighbor,21,16,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
616,Support Vector Machines,21,16,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
617,Naive Bayes,21,16,5,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
618,K-Nearest Neighbor,21,17,4,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
619,Support Vector Machines,21,17,4,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
620,Naive Bayes,21,17,4,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
621,K-Nearest Neighbor,21,18,3,0.8,0.6833333333333333,1.0,0.7914285714285715
622,Support Vector Machines,21,18,3,0.8,0.7666666666666666,0.8333333333333333,0.76
623,Naive Bayes,21,18,3,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
624,K-Nearest Neighbor,21,19,2,0.76,0.6499999999999999,1.0,0.7647619047619048
625,Support Vector Machines,21,19,2,0.64,0.6333333333333333,0.5,0.5333333333333333
626,Naive Bayes,21,19,2,0.8400000000000001,0.7833333333333333,0.9,0.8314285714285715
627,K-Nearest Neighbor,21,20,1,0.6799999999999999,0.5166666666666666,0.7,0.5847619047619047
628,Support Vector Machines,21,20,1,0.56,0.4,0.4333333333333333,0.4133333333333333
629,Naive Bayes,21,20,1,0.72,0.65,0.5666666666666667,0.5380952380952381
630,K-Nearest Neighbor,22,2,20,0.6799999999999999,0.6,0.5,0.49333333333333335
631,Support Vector Machines,22,2,20,0.68,0.7333333333333332,0.7,0.6266666666666666
